,state,Loc,% Married,% Divorced,WaffleHouses
0,Alabama,AL,20.2,12.7,128
1,Alaska,AK,26.0,12.5,0
2,Arizona,AZ,20.3,10.8,18
3,Arkansas,AR,26.4,13.5,41
4,California,CA,19.1,8.0,0
5,Colorado,CO,23.5,11.6,11
6,Connecticut,CT,17.1,6.7,0
7,Delaware,DE,23.1,8.9,3
8,District of Columbia,DC,17.7,6.3,0
9,Florida,FL,17.0,8.5,133
10,Georgia,GA,22.1,11.5,381
11,Hawaii,HI,24.9,8.3,0
12,Idaho,ID,25.8,7.7,0
13,Illinois,IL,17.9,8.0,2
14,Indiana,IN,19.8,11.0,17
15,Iowa,IA,21.5,10.2,0
16,Kansas,KS,22.1,10.6,6
17,Kentucky,KY,22.2,12.6,64
18,Louisiana,LA,20.6,11.0,66
19,Maine,ME,13.5,13.0,0
20,Maryland,MD,18.3,8.8,11
21,Massachusetts,MA,15.8,7.8,0
22,Michigan,MI,16.5,9.2,0
23,Minnesota,MN,15.3,7.4,0
24,Mississippi,MS,19.3,11.1,72
25,Missouri,MO,18.6,9.5,39
26,Montana,MT,18.5,9.1,0
27,Nebraska,NE,19.6,8.8,0
28,New Hampshire,NH,16.7,10.1,0
29,New Jersey,NJ,14.8,6.1,0
30,New Mexico,NM,20.4,10.2,2
31,New York,NY,16.8,6.6,0
32,North Carolina,NC,20.4,9.9,142
33,North Dakota,ND,26.7,8.0,0
34,Ohio,OH,16.9,9.5,64
35,Oklahoma,OK,23.8,12.8,16
36,Oregon,OR,18.9,10.4,0
37,Pennsylvania,PA,15.5,7.7,11
38,Rhode Island,RI,15.0,9.4,0
39,South Carolina,SC,18.1,8.1,144
40,South Dakota,SD,20.1,10.9,0
41,Tennessee,TN,19.4,11.4,103
42,Texas,TX,21.5,10.0,99
43,Utah,UT,29.6,10.2,0
44,Vermont,VT,16.4,9.6,0
45,Virginia,VA,20.5,8.9,40
46,Washington,WA,21.4,10.0,0
47,West Virginia,WV,22.2,10.9,4
48,Wisconsin,WI,17.2,8.3,0
49,Wyoming,WY,30.7,10.3,0
